song,listeners,streams,saves,release_date
"'Til the Day",0,178259,0,2016-05-09
"Turn Up God (Intro)",0,177493,0,2022-04-01
"I Remember",0,172618,0,2019-04-16
"I Don't See U (feat. Ice Burgandy)",0,171991,0,2022-04-01
"Jumpin out the Gym",0,172015,0,2022-04-01
"I Pray (feat. Jimmy Rocket, Ace, Junior & Kidd Jayy)",0,171416,0,2018-05-31
"So Many Things",0,166784,0,2022-04-01
"Chin Up (feat. Slim Dunkin)",0,289790,0,2012-06-08
"Flexxin (feat. Gucci Mane, OJ da Juiceman & David Blayne)",0,157086,0,2022-04-01
"I Don't See U (feat. Ice Burgandy)",0,255247,0,2011-08-05
"Where It At",0,153625,0,2018-01-19
"Chef Curry",0,151536,0,2018-05-31
"Watch My Power Spread (feat. Wooh Da Kid)",0,202196,0,2018-01-19
"3 Gold Chains (feat. Troy Ave)",0,150658,0,2022-04-01
